loc	lon	lat
1	-8.85	37.2833
2	-8.0602	37.5118
3	-6.5612	37.8942
4	-4.7156	40.9931
5	-4.7436	40.6688
6	-7.2934	37.2417
7	-7.831	37.8863
8	-5.766	40.3836
9	-7.0013	39.2194
10	-8.6858	37.8033
11	-8.5284	38.9581
12	-5.6191	37.8723
13	-4.9677	38.3882
14	-3.5628	38.5233
15	-7.0576	40.9928
16	-6.9631	40.8964
17	-6.6514	38.1648
18	-6.6792	37.3601
19	-7.2779	40.0614
20	-3.7895	37.7657
21	-6.0154	38.2376
22	-3.5303	41.0593
23	-6.771	41.4941
24	-7.1776	41.4901
25	-6.4798	41.4222
26	-8.1656	38.9438
27	-7.4494	38.1441
28	-7.6538	39.5195
29	-4.6207	39.0864
30	-6.0883	40.0305
31	-7.9252	39.7498
32	-7.8316	37.2646
33	-6.1724	37.6254
34	-7.4042	41.1477
35	-6.1418	39.05
36	-7.6759	37.1973
37	-4.5133	40.4082
38	-7.6735	39.6511
